symbol,score_long,score_short,close,ema20,ema50,rsi14,atr14,vol_ratio,cpr_width_pct,macd_value,macd_signal,bb_position,support,resistance,risk_reward_ratio,ibs,cpr_percentile,sector,rs_5d_pct,rs_rating,stop_loss_points_long,stop_loss_price_long,target_points_long,target_price_long,suggested_shares_long,actual_risk_long,stop_loss_points_short,stop_loss_price_short,target_points_short,target_price_short,suggested_shares_short,actual_risk_short,risk_level,nr7,inside_day,vol_surge,trend_long,trend_short,twenty_high_break,twenty_low_break,narrow_cpr,macd_bullish,macd_bearish,bb_squeeze,bb_expansion,momentum_divergence,volume_confirmation,risk_reward_favorable,narrow_cpr_percentile,ibs_extreme,sector_outperformance
ADANIENT,4,3,2494.4,2521.14,2487.76,34.7,43.13,0.81,0.08,11.23,23.72,0.12,2472.1,2617.3,1.9,0.415,0.3,Conglomerate,25.0,Strong,34.5,2459.9,69.01,2563.41,125,4312.93,34.5,2528.9,69.01,2425.39,125,4312.93,Low,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
ADANIPORTS,3,2,1417.9,1430.5,1409.37,39.1,27.3,0.94,0.22,11.76,15.73,0.41,1377.6,1490.5,1.77,0.316,0.45,Infrastructure,25.0,Strong,21.84,1396.06,43.67,1461.57,225,4913.16,21.84,1439.74,43.67,1374.23,225,4913.16,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
ASIANPAINT,9,4,2509.3,2448.15,2442.38,71.1,42.48,1.37,0.03,20.09,-0.11,0.82,2308.0,2546.0,0.18,0.473,0.05,Paints,25.0,Strong,33.98,2475.32,67.97,2577.27,125,4247.84,33.98,2543.28,67.97,2441.33,125,4247.84,Low,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True
AXISBANK,8,2,1246.3,1201.44,1161.97,66.4,24.51,0.96,0.08,31.67,27.77,0.83,1125.4,1276.1,0.25,0.435,0.15,Banking,25.0,Strong,19.61,1226.69,39.22,1285.52,250,4903.0,19.61,1265.91,39.22,1207.08,250,4903.0,Low,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True
BAJAJ-AUTO,4,2,9057.5,9008.13,8870.78,53.1,124.95,1.27,0.12,64.73,59.19,0.65,8491.5,9236.5,0.32,0.347,0.2,Auto,25.0,Strong,99.96,8957.54,199.93,9257.43,50,4998.19,99.96,9157.46,199.93,8857.57,50,4998.19,Low,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
BAJAJFINSV,8,2,2140.2,2092.94,2050.33,61.5,41.44,1.31,0.49,37.42,26.86,0.77,1968.0,2195.0,0.32,0.261,0.9,NBFC,25.0,Strong,33.15,2107.05,66.3,2206.5,150,4972.68,33.15,2173.35,66.3,2073.9,150,4972.68,Low,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True
BAJFINANCE,8,3,1072.75,1048.4,1002.17,59.5,20.16,1.73,0.31,28.97,27.86,0.71,972.0,1102.5,0.3,0.33,0.8,NBFC,25.0,Strong,16.13,1056.62,32.26,1105.01,300,4838.5,16.13,1088.88,32.26,1040.49,300,4838.5,Low,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True
BHARTIARTL,8,3,2090.2,1991.37,1950.77,77.6,37.99,1.98,0.1,38.97,26.2,0.96,1848.1,2102.6,0.05,0.599,0.25,Telecom,25.0,Strong,30.39,2059.81,60.78,2150.98,150,4558.47,30.39,2120.59,60.78,2029.42,150,4558.47,Low,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
BPCL,7,1,340.65,335.91,330.81,57.2,7.57,0.82,0.37,2.55,3.11,0.62,325.5,351.0,0.68,0.178,0.65,Energy,25.0,Strong,6.06,334.59,12.11,352.76,825,4995.73,6.06,346.71,12.11,328.54,825,4995.73,Low,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
BRITANNIA,6,7,5861.0,5966.22,5906.45,33.9,122.16,1.56,0.13,9.25,15.39,0.26,5782.0,6149.0,1.57,0.411,0.2,FMCG,25.0,Strong,97.73,5763.27,195.46,6056.46,50,4886.56,97.73,5958.73,195.46,5665.54,50,4886.56,Low,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,False,True
CIPLA,2,0,1568.1,1572.6,1554.26,45.4,32.9,1.09,0.33,16.65,13.4,0.56,1485.3,1673.0,1.27,0.216,0.7,Pharma,25.0,Strong,26.32,1541.78,52.64,1620.74,175,4606.21,26.32,1594.42,52.64,1515.46,175,4606.21,Low,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True
COALINDIA,5,3,391.4,389.25,386.7,54.7,4.96,1.51,0.4,1.64,0.73,0.72,379.95,398.2,0.59,0.232,0.95,Mining,25.0,Strong,3.97,387.43,7.94,399.34,1250,4961.54,3.97,395.37,7.94,383.46,1250,4961.54,Low,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
DIVISLAB,4,2,6438.5,6377.82,6274.62,49.6,127.8,0.6,0.11,132.1,122.09,0.6,5636.5,6675.0,0.29,0.422,0.15,Pharma,25.0,Strong,102.24,6336.26,204.48,6642.98,25,2555.99,102.24,6540.74,204.48,6234.02,25,2555.99,Low,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
DRREDDY,9,3,1289.4,1268.95,1267.15,65.6,22.88,0.94,0.22,3.95,-1.22,0.89,1217.5,1303.6,0.2,0.719,0.2,Pharma,25.0,Strong,18.31,1271.09,36.61,1326.01,250,4576.68,18.31,1307.71,36.61,1252.79,250,4576.68,Low,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
EICHERMOT,5,1,7002.5,6918.1,6660.37,58.1,117.81,1.39,0.37,63.28,90.19,0.73,6792.0,7104.5,0.48,0.833,0.8,Auto,25.0,Strong,94.25,6908.25,188.5,7191.0,50,4712.44,94.25,7096.75,188.5,6814.0,50,4712.44,Low,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
