symbol,score_long,score_short,close,ema20,ema50,rsi14,atr14,vol_ratio,cpr_width_pct,macd_value,macd_signal,bb_position,support,resistance,risk_reward_ratio,ibs,cpr_percentile,sector,rs_5d_pct,rs_rating,stop_loss_points_long,stop_loss_price_long,target_points_long,target_price_long,suggested_shares_long,actual_risk_long,stop_loss_points_short,stop_loss_price_short,target_points_short,target_price_short,suggested_shares_short,actual_risk_short,risk_level,nr7,inside_day,vol_surge,trend_long,trend_short,twenty_high_break,twenty_low_break,narrow_cpr,macd_bullish,macd_bearish,bb_squeeze,bb_expansion,momentum_divergence,volume_confirmation,risk_reward_favorable,narrow_cpr_percentile,ibs_extreme,sector_outperformance
JSWSTEEL,12,4,1184.2,1149.76,1120.86,67.0,24.01,2.25,1.05,11.6,13.82,1.01,1119.7,1186.4,0.03,0.947,1.0,Metals,25.0,Strong,19.21,1164.99,38.41,1222.61,250,4801.38,19.21,1203.41,38.41,1145.79,250,4801.38,Low,False,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True
HINDALCO,12,4,848.95,787.15,755.27,87.4,18.5,1.48,0.04,21.66,15.11,1.14,744.85,859.9,0.11,0.522,0.1,Metals,25.0,Strong,14.8,834.15,29.59,878.54,325,4808.86,14.8,863.75,29.59,819.36,325,4808.86,Medium,False,False,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True
TATASTEEL,11,4,181.81,173.38,169.25,78.6,3.62,2.31,0.84,2.27,1.81,1.2,166.13,182.06,0.02,0.95,0.95,Metals,25.0,Strong,2.9,178.91,5.79,187.6,1725,4997.12,2.9,184.71,5.79,176.02,1725,4997.12,Low,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True
SBIN,11,3,930.25,889.42,861.34,81.3,14.62,2.11,0.25,19.52,16.38,1.02,856.0,935.85,0.08,0.691,0.55,Banking,25.0,Strong,11.7,918.55,23.39,953.64,425,4971.38,11.7,941.95,23.39,906.86,425,4971.38,Medium,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
LT,11,4,3972.8,3820.62,3724.1,81.5,54.72,1.96,0.36,74.12,61.1,0.96,3615.0,3986.0,0.04,0.808,0.85,Infrastructure,25.0,Strong,43.77,3929.03,87.55,4060.35,100,4377.26,43.77,4016.57,87.55,3885.25,100,4377.26,Medium,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True
RELIANCE,10,2,1486.9,1422.24,1407.04,80.2,23.5,1.42,0.09,23.32,12.2,0.96,1356.9,1492.0,0.04,0.646,0.3,Energy,25.0,Strong,18.8,1468.1,37.6,1524.5,250,4700.33,18.8,1505.7,37.6,1449.3,250,4700.33,Medium,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True
HDFCBANK,9,3,1003.55,988.19,980.27,65.4,14.91,1.5,0.14,9.67,7.37,0.78,939.1,1020.5,0.26,0.658,0.35,Banking,25.0,Strong,11.93,991.62,23.86,1027.41,400,4772.35,11.93,1015.48,23.86,979.69,400,4772.35,Low,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
ASIANPAINT,9,4,2509.3,2448.15,2442.38,71.1,42.48,1.37,0.03,20.09,-0.11,0.82,2308.0,2546.0,0.18,0.473,0.05,Paints,25.0,Strong,33.98,2475.32,67.97,2577.27,125,4247.84,33.98,2543.28,67.97,2441.33,125,4247.84,Low,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True
DRREDDY,9,3,1289.4,1268.95,1267.15,65.6,22.88,0.94,0.22,3.95,-1.22,0.89,1217.5,1303.6,0.2,0.719,0.2,Pharma,25.0,Strong,18.31,1271.09,36.61,1326.01,250,4576.68,18.31,1307.71,36.61,1252.79,250,4576.68,Low,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
UPL,8,4,702.6,680.11,683.17,72.6,14.41,2.96,0.99,-0.13,-2.99,1.16,643.25,709.0,0.11,0.809,1.0,Chemicals,25.0,Strong,11.53,691.07,23.06,725.66,425,4900.69,11.53,714.13,23.06,679.54,425,4900.69,Low,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True
GRASIM,8,3,2932.9,2843.05,2813.9,73.2,52.48,2.34,0.09,25.9,13.98,1.05,2700.5,2959.6,0.11,0.413,0.35,Materials,25.0,Strong,41.99,2890.91,83.97,3016.87,100,4198.58,41.99,2974.89,83.97,2848.93,100,4198.58,Low,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
